equipment_id,timestamp,metric_name,value,unit
10004521,2026-08-03T20:00:00Z,vibration_velocity,2.1,mm_s
10004521,2026-08-03T20:00:00Z,bearing_temperature,58.1,deg_C
10004521,2026-08-03T20:00:00Z,flow_rate,342,m3_h
10004521,2026-08-03T20:30:00Z,vibration_velocity,2.2,mm_s
10004521,2026-08-03T20:30:00Z,bearing_temperature,58.3,deg_C
10004521,2026-08-03T20:30:00Z,flow_rate,341,m3_h
10004521,2026-08-03T21:00:00Z,vibration_velocity,2.2,mm_s
10004521,2026-08-03T21:00:00Z,bearing_temperature,58.6,deg_C
10004521,2026-08-03T21:00:00Z,flow_rate,340,m3_h
10004521,2026-08-03T21:30:00Z,vibration_velocity,2.4,mm_s
10004521,2026-08-03T21:30:00Z,bearing_temperature,59.0,deg_C
10004521,2026-08-03T21:30:00Z,flow_rate,338,m3_h
10004521,2026-08-03T22:00:00Z,vibration_velocity,2.6,mm_s
10004521,2026-08-03T22:00:00Z,bearing_temperature,60.2,deg_C
10004521,2026-08-03T22:00:00Z,flow_rate,335,m3_h
10004521,2026-08-03T22:30:00Z,vibration_velocity,3.1,mm_s
10004521,2026-08-03T22:30:00Z,bearing_temperature,62.5,deg_C
10004521,2026-08-03T22:30:00Z,flow_rate,330,m3_h
10004521,2026-08-03T23:00:00Z,vibration_velocity,3.8,mm_s
10004521,2026-08-03T23:00:00Z,bearing_temperature,65.8,deg_C
10004521,2026-08-03T23:00:00Z,flow_rate,322,m3_h
10004521,2026-08-03T23:30:00Z,vibration_velocity,4.5,mm_s
10004521,2026-08-03T23:30:00Z,bearing_temperature,69.4,deg_C
10004521,2026-08-03T23:30:00Z,flow_rate,313,m3_h
10004521,2026-08-04T00:00:00Z,vibration_velocity,5.3,mm_s
10004521,2026-08-04T00:00:00Z,bearing_temperature,73.1,deg_C
10004521,2026-08-04T00:00:00Z,flow_rate,305,m3_h
10004521,2026-08-04T00:30:00Z,vibration_velocity,6.0,mm_s
10004521,2026-08-04T00:30:00Z,bearing_temperature,77.0,deg_C
10004521,2026-08-04T00:30:00Z,flow_rate,296,m3_h
10004521,2026-08-04T01:00:00Z,vibration_velocity,6.8,mm_s
10004521,2026-08-04T01:00:00Z,bearing_temperature,80.5,deg_C
10004521,2026-08-04T01:00:00Z,flow_rate,288,m3_h
10004521,2026-08-04T01:30:00Z,vibration_velocity,7.4,mm_s
10004521,2026-08-04T01:30:00Z,bearing_temperature,83.9,deg_C
10004521,2026-08-04T01:30:00Z,flow_rate,279,m3_h
10004521,2026-08-04T02:00:00Z,vibration_velocity,8.2,mm_s
10004521,2026-08-04T02:00:00Z,bearing_temperature,86.7,deg_C
10004521,2026-08-04T02:00:00Z,flow_rate,270,m3_h
10004521,2026-08-04T02:30:00Z,vibration_velocity,9.0,mm_s
10004521,2026-08-04T02:30:00Z,bearing_temperature,89.5,deg_C
10004521,2026-08-04T02:30:00Z,flow_rate,262,m3_h
10004521,2026-08-04T03:00:00Z,vibration_velocity,9.8,mm_s
10004521,2026-08-04T03:00:00Z,bearing_temperature,92.0,deg_C
10004521,2026-08-04T03:00:00Z,flow_rate,255,m3_h
10004521,2026-08-04T03:12:00Z,vibration_velocity,12.4,mm_s
10004521,2026-08-04T03:12:00Z,bearing_temperature,95.4,deg_C
10004521,2026-08-04T03:12:00Z,flow_rate,248,m3_h
10004521,2026-08-04T03:30:00Z,vibration_velocity,0.0,mm_s
10004521,2026-08-04T03:30:00Z,bearing_temperature,91.0,deg_C
10004521,2026-08-04T03:30:00Z,flow_rate,0,m3_h
10004521,2026-08-04T04:00:00Z,vibration_velocity,0.0,mm_s
10004521,2026-08-04T04:00:00Z,bearing_temperature,84.2,deg_C
10004521,2026-08-04T04:00:00Z,flow_rate,0,m3_h
10004521,2026-08-04T04:30:00Z,vibration_velocity,0.0,mm_s
10004521,2026-08-04T04:30:00Z,bearing_temperature,78.5,deg_C
10004521,2026-08-04T04:30:00Z,flow_rate,0,m3_h
10004521,2026-08-04T05:00:00Z,vibration_velocity,0.0,mm_s
10004521,2026-08-04T05:00:00Z,bearing_temperature,73.0,deg_C
10004521,2026-08-04T05:00:00Z,flow_rate,0,m3_h
